,event_name,city,customers_assistance,average_price,total_revenue
0,Hamilton Broadway,"New York, USA",82,2000.0,164000
1,Madrid Open Tennis,"Madrid, Spain",66,800.0,52800
2,Dubai Tour,"Dubai, UAE",73,450.0,32850
3,BCN Tour and Flavors,"Barcelona, Spain",70,200.0,14000
4,Paris Fashion Week,"Paris, France",70,180.0,12600
5,Coldplay Concert,"Barcelona, Spain",70,200.0,14000
6,London Pass,"London, UK",81,400.0,32400
7,Dubai Shopping Festival,"Dubai, UAE",67,1500.0,100500
8,Mad Cool,"Madrid, Spain",59,60.0,3540
9,Oktoberfest Palma,"Palma, Spain",82,100.0,8200
